area_name,calendar_date,precipitation,avg_temperature,total_snowfall,deepest_snowfall,hours_sunlight,avg_wind_speed,avg_vapor_pressure,avg_humidity,avg_sea_pressure,avg_local_pressure,solar_radiation,cloud_cover,high_temperature,low_temperature
fukuoka_dazaifu-kana_dasaif,2/12/16,0,13.8,,,0,2.3,,,,,,,18.1,8
fukuoka_dazaifu-kana_dasaif,2/13/16,45.5,15.9,,,0.3,2.7,,,,,,,19.4,12.9
fukuoka_dazaifu-kana_dasaif,2/14/16,1,10.7,,,0.8,3.4,,,,,,,18.4,4.9
fukuoka_dazaifu-kana_dasaif,2/15/16,0,3.4,,,2.9,4.5,,,,,,,5.3,1.3
fukuoka_dazaifu-kana_dasaif,2/16/16,1,3.6,,,0.6,2.4,,,,,,,6,0.4
fukuoka_dazaifu-kana_dasaif,2/17/16,0.5,4.4,,,2.6,2.2,,,,,,,7.4,-0.6
fukuoka_dazaifu-kana_dasaif,2/18/16,0,5.2,,,6.9,1.9,,,,,,,12,-1
fukuoka_dazaifu-kana_dasaif,2/19/16,0,8.5,,,2.5,1.3,,,,,,,13.9,2.8
fukuoka_dazaifu-kana_dasaif,2/20/16,32,8.5,,,0,1.6,,,,,,,11.3,6.2
fukuoka_dazaifu-kana_dasaif,2/21/16,4.5,5.3,,,7.8,2.6,,,,,,,8.3,0.8
fukuoka_dazaifu-kana_dasaif,2/22/16,3.5,5.9,,,1.1,1.1,,,,,,,12,0.1
fukuoka_dazaifu-kana_dasaif,2/23/16,2.5,7.3,,,2.2,1.1,,,,,,,11.9,4.3
fukuoka_dazaifu-kana_dasaif,2/24/16,7,6.5,,,4.3,2.8,,,,,,,9.7,2.6
fukuoka_dazaifu-kana_dasaif,2/25/16,11.5,2.9,,,1.9,1.6,,,,,,,6.9,-0.8
fukuoka_dazaifu-kana_dasaif,2/26/16,0,4.2,,,8,2.1,,,,,,,10.8,-1.4
fukuoka_dazaifu-kana_dasaif,2/27/16,3,7.3,,,2.1,2.3,,,,,,,13.3,2.7
fukuoka_dazaifu-kana_dasaif,2/28/16,0,11.1,,,9.8,2.1,,,,,,,17.7,4.7
fukuoka_dazaifu-kana_dasaif,2/29/16,0,5.4,,,1.8,4.4,,,,,,,11.4,0.7
fukuoka_dazaifu-kana_dasaif,3/1/16,0,3,,,4.8,2,,,,,,,6.7,-0.1
fukuoka_dazaifu-kana_dasaif,3/2/16,0,5.5,,,7.6,2.1,,,,,,,12.7,-0.2
fukuoka_dazaifu-kana_dasaif,3/3/16,0,9.6,,,10.3,2.6,,,,,,,18.5,2.3
fukuoka_dazaifu-kana_dasaif,3/4/16,0,14.1,,,4.8,2.2,,,,,,,20.8,9.3
fukuoka_dazaifu-kana_dasaif,3/5/16,0,16.5,,,10.4,2.5,,,,,,,22.8,9.3
fukuoka_dazaifu-kana_dasaif,3/6/16,0,17.5,,,1.6,2.3,,,,,,,22.4,13.7
fukuoka_dazaifu-kana_dasaif,3/7/16,0,14.9,,,1.6,1.7,,,,,,,18.6,11.5
fukuoka_dazaifu-kana_dasaif,3/8/16,0,13.7,,,3.1,1.9,,,,,,,18.8,11
fukuoka_dazaifu-kana_dasaif,3/9/16,43.5,9.9,,,0,2.3,,,,,,,12.2,8.6
fukuoka_dazaifu-kana_dasaif,3/10/16,0,9.2,,,0,2.2,,,,,,,11.6,6.6
fukuoka_dazaifu-kana_dasaif,3/11/16,2,5.6,,,0.2,1.9,,,,,,,7.8,2.1
fukuoka_dazaifu-kana_dasaif,3/12/16,0,4.8,,,1.8,1.2,,,,,,,9.6,0
fukuoka_dazaifu-kana_dasaif,3/13/16,9,6.4,,,0,1,,,,,,,10.4,2.2
fukuoka_dazaifu-kana_dasaif,3/14/16,4.5,8.3,,,2,2.3,,,,,,,12.8,5.5
fukuoka_dazaifu-kana_dasaif,3/15/16,0,8.4,,,10.3,1.7,,,,,,,14.2,4.3
fukuoka_dazaifu-kana_dasaif,3/16/16,0,10.5,,,7.5,1.5,,,,,,,18,4.6
fukuoka_dazaifu-kana_dasaif,3/17/16,0,13.2,,,10.5,1.6,,,,,,,22.2,5
fukuoka_dazaifu-kana_dasaif,3/18/16,5.5,14.3,,,0,2.6,,,,,,,16.3,12
fukuoka_dazaifu-kana_dasaif,3/19/16,2,14,,,2.8,2.2,,,,,,,17.2,8.8
fukuoka_dazaifu-kana_dasaif,3/20/16,0,11.2,,,11,2.5,,,,,,,16.5,7.3
fukuoka_dazaifu-kana_dasaif,3/21/16,0,9.2,,,9.6,2.2,,,,,,,14.9,4.2
fukuoka_dazaifu-kana_dasaif,3/22/16,0,10.4,,,11.5,1.3,,,,,,,19.9,1
fukuoka_dazaifu-kana_dasaif,3/23/16,0,11.5,,,3,1.7,,,,,,,17.6,6.2
fukuoka_dazaifu-kana_dasaif,3/24/16,0,9.5,,,2.4,2.4,,,,,,,13,6.2
fukuoka_dazaifu-kana_dasaif,3/25/16,0,7.9,,,9.2,1.7,,,,,,,13.8,2.2
fukuoka_dazaifu-kana_dasaif,3/26/16,2.5,9.2,,,9.8,1.7,,,,,,,16.3,1.8
fukuoka_dazaifu-kana_dasaif,3/27/16,0,8.4,,,6.7,1.9,,,,,,,13.8,3.9
fukuoka_dazaifu-kana_dasaif,3/28/16,0,9.4,,,11.4,2.3,,,,,,,17.9,2.8
fukuoka_dazaifu-kana_dasaif,3/29/16,0,12,,,3.6,2.2,,,,,,,17.6,5
fukuoka_dazaifu-kana_dasaif,3/30/16,0,15.3,,,2.8,2.2,,,,,,,19.5,12.3
fukuoka_dazaifu-kana_dasaif,3/31/16,15,14.3,,,1,1.8,,,,,,,18.1,11.7
fukuoka_dazaifu-kana_dasaif,4/1/16,2.5,14.5,,,0,2.1,,,,,,,16.6,12.8
fukuoka_dazaifu-kana_dasaif,4/2/16,0.5,17.9,,,7.7,1.3,,,,,,,24.4,13.4
fukuoka_dazaifu-kana_dasaif,4/3/16,5,17.9,,,0.2,1.2,,,,,,,23.9,14.5
fukuoka_dazaifu-kana_dasaif,4/4/16,22.5,14.9,,,0,2.1,,,,,,,16.3,13.3
fukuoka_dazaifu-kana_dasaif,4/5/16,0,14.3,,,6.4,1.5,,,,,,,19.1,10.1
fukuoka_dazaifu-kana_dasaif,4/6/16,3.5,16,,,4.9,1.4,,,,,,,22.8,9
fukuoka_dazaifu-kana_dasaif,4/7/16,55,18.5,,,0,3.2,,,,,,,23,14.2
fukuoka_dazaifu-kana_dasaif,4/8/16,0,15.6,,,4.9,1.1,,,,,,,21.1,12
fukuoka_dazaifu-kana_dasaif,4/9/16,0,17.3,,,7.4,1.3,,,,,,,26.3,11.9
fukuoka_dazaifu-kana_dasaif,4/10/16,0,16.3,,,4.3,1.7,,,,,,,22.2,12
fukuoka_dazaifu-kana_dasaif,4/11/16,0,14.1,,,8,2.8,,,,,,,18.2,8.7
fukuoka_dazaifu-kana_dasaif,4/12/16,0,15.8,,,6.8,2.1,,,,,,,24.1,7.4
fukuoka_dazaifu-kana_dasaif,4/13/16,24.5,16.7,,,2.1,2.6,,,,,,,20.5,13.6
fukuoka_dazaifu-kana_dasaif,4/14/16,0.5,17.7,,,7.3,1.9,,,,,,,22.5,13.8
fukuoka_dazaifu-kana_dasaif,4/15/16,0,16.6,,,11.7,1.7,,,,,,,23.7,11.8
fukuoka_dazaifu-kana_dasaif,4/16/16,10.5,17.8,,,4.8,2.8,,,,,,,24.3,11.5
fukuoka_dazaifu-kana_dasaif,4/17/16,32.5,17.3,,,11,3,,,,,,,23,10.5
fukuoka_dazaifu-kana_dasaif,4/18/16,0,13.2,,,0.6,1.2,,,,,,,17.9,8.7
fukuoka_dazaifu-kana_dasaif,4/19/16,0,13.7,,,10.8,2.1,,,,,,,21.6,7.8
fukuoka_dazaifu-kana_dasaif,4/20/16,0,16.3,,,9.2,1.9,,,,,,,25.7,7.2
fukuoka_dazaifu-kana_dasaif,4/21/16,73,17.3,,,0,2.5,,,,,,,20.8,14
fukuoka_dazaifu-kana_dasaif,4/22/16,0,18.4,,,5.4,1.4,,,,,,,24.3,14
fukuoka_dazaifu-kana_dasaif,4/23/16,1.5,16,,,1,2,,,,,,,20.5,13.8
fukuoka_dazaifu-kana_dasaif,4/24/16,0,16.2,,,2.8,1.1,,,,,,,22.7,12.7
fukuoka_dazaifu-kana_dasaif,4/25/16,0,17.1,,,1.9,1,,,,,,,23.3,11.4
fukuoka_dazaifu-kana_dasaif,4/26/16,1,20.6,,,6.2,1.6,,,,,,,28,15.3
fukuoka_dazaifu-kana_dasaif,4/27/16,31,18.2,,,0.4,1.4,,,,,,,20.9,16.9
fukuoka_dazaifu-kana_dasaif,4/28/16,4,14.7,,,0,3.1,,,,,,,17.8,12.4
fukuoka_dazaifu-kana_dasaif,4/29/16,0,14.3,,,12,1.9,,,,,,,19.1,9.2
fukuoka_dazaifu-kana_dasaif,4/30/16,0,17.3,,,12.5,2.5,,,,,,,25.9,9.3
fukuoka_dazaifu-kana_dasaif,5/1/16,0,20.3,,,11.9,2.2,,,,,,,28.3,13.7
fukuoka_dazaifu-kana_dasaif,5/2/16,0,21,,,8.4,2,,,,,,,27.8,14.3
fukuoka_dazaifu-kana_dasaif,5/3/16,63,17.5,,,1.1,3.6,,,,,,,21.1,12.1
fukuoka_dazaifu-kana_dasaif,5/4/16,0,20.4,,,12.4,3.2,,,,,,,27.4,12.4
fukuoka_dazaifu-kana_dasaif,5/5/16,0,20.5,,,8.1,1.5,,,,,,,27.1,13.3
fukuoka_dazaifu-kana_dasaif,5/6/16,8.5,17.7,,,0,2.9,,,,,,,20.4,15.1
fukuoka_dazaifu-kana_dasaif,5/7/16,0,19.8,,,6.4,1.9,,,,,,,23.5,14.7
fukuoka_dazaifu-kana_dasaif,5/8/16,2.5,20,,,4.7,1.4,,,,,,,27.4,13.5
fukuoka_dazaifu-kana_dasaif,5/9/16,7.5,19.4,,,0,1.8,,,,,,,21.9,17.5
fukuoka_dazaifu-kana_dasaif,5/10/16,18.5,19.4,,,0,2.5,,,,,,,21.9,15.4
fukuoka_dazaifu-kana_dasaif,5/11/16,6,14.9,,,2.1,2,,,,,,,18.8,10.6
fukuoka_dazaifu-kana_dasaif,5/12/16,0,18.1,,,13.2,1.5,,,,,,,28.5,8.2
fukuoka_dazaifu-kana_dasaif,5/13/16,0,20.3,,,9.4,1.9,,,,,,,25.7,16.2
fukuoka_dazaifu-kana_dasaif,5/14/16,0,20.5,,,12,1.7,,,,,,,28.6,14.2
fukuoka_dazaifu-kana_dasaif,5/15/16,8,23.7,,,8.9,2.5,,,,,,,31,18.9
fukuoka_dazaifu-kana_dasaif,5/16/16,78.5,16.1,,,0.2,2.3,,,,,,,23.4,10.4
fukuoka_dazaifu-kana_dasaif,5/17/16,0,17.1,,,13.2,1.8,,,,,,,25.4,8.8
fukuoka_dazaifu-kana_dasaif,5/18/16,0,19.4,,,13.2,1.3,,,,,,,28.3,9.7
fukuoka_dazaifu-kana_dasaif,5/19/16,0,21.9,,,9.7,1.8,,,,,,,28.2,15.5
fukuoka_dazaifu-kana_dasaif,5/20/16,0,23.6,,,12.6,2,,,,,,,30.3,15.6
fukuoka_dazaifu-kana_dasaif,5/21/16,0,22.4,,,8.8,1.5,,,,,,,30,16.7
fukuoka_dazaifu-kana_dasaif,5/22/16,0,21.8,,,11.9,1.7,,,,,,,29.3,15
fukuoka_dazaifu-kana_dasaif,5/23/16,0,23.8,,,13,2,,,,,,,32.2,16.3
fukuoka_dazaifu-kana_dasaif,5/24/16,6.5,23.1,,,2,2.2,,,,,,,30.6,18.6
fukuoka_dazaifu-kana_dasaif,5/25/16,2.5,22.4,,,2.9,1.5,,,,,,,28.4,19.5
fukuoka_dazaifu-kana_dasaif,5/26/16,0,23.9,,,4.9,1.8,,,,,,,29.2,20.3
fukuoka_dazaifu-kana_dasaif,5/27/16,0,23.3,,,4.9,1.9,,,,,,,27.8,20.1
fukuoka_dazaifu-kana_dasaif,5/28/16,8,19.7,,,0,1.2,,,,,,,23,15.7
fukuoka_dazaifu-kana_dasaif,5/29/16,22,20.1,,,0,1.5,,,,,,,21.4,19.4
fukuoka_dazaifu-kana_dasaif,5/30/16,0,22.3,,,12.9,2,,,,,,,28.5,17.3
fukuoka_dazaifu-kana_dasaif,5/31/16,0,23.2,,,11.1,1.6,,,,,,,31.5,14.3
fukuoka_dazaifu-kana_dasaif,6/1/16,0,21.3,,,4.2,1.9,,,,,,,27.5,17.5
fukuoka_dazaifu-kana_dasaif,6/2/16,0,20.2,,,13.6,2.6,,,,,,,26.1,14.3
fukuoka_dazaifu-kana_dasaif,6/3/16,0,22,,,11.2,1.8,,,,,,,30.4,14.5
fukuoka_dazaifu-kana_dasaif,6/4/16,23,19.3,,,0,1.3,,,,,,,22.3,17.6
fukuoka_dazaifu-kana_dasaif,6/5/16,1.5,19.6,,,0,1.9,,,,,,,21.8,18
fukuoka_dazaifu-kana_dasaif,6/6/16,0.5,22.8,,,1.9,1.1,,,,,,,27.9,18.4
fukuoka_dazaifu-kana_dasaif,6/7/16,0,23.6,,,3.7,1.2,,,,,,,28.1,20.3
fukuoka_dazaifu-kana_dasaif,6/8/16,0,23.9,,,4.4,1.8,,,,,,,29.5,20.9
fukuoka_dazaifu-kana_dasaif,6/9/16,1.5,23.6,,,7.3,1.6,,,,,,,29.4,20.5
fukuoka_dazaifu-kana_dasaif,6/10/16,0,25,,,11.9,1.8,,,,,,,31.1,19.4
fukuoka_dazaifu-kana_dasaif,6/11/16,0,26.8,,,4,1.6,,,,,,,32.5,22.1
fukuoka_dazaifu-kana_dasaif,6/12/16,16,23.4,,,0,1.3,,,,,,,25.5,21.3
fukuoka_dazaifu-kana_dasaif,6/13/16,0,23.5,,,2.1,2.4,,,,,,,28.5,21.3
fukuoka_dazaifu-kana_dasaif,6/14/16,0,24.6,,,10,1.8,,,,,,,29.7,21.3
fukuoka_dazaifu-kana_dasaif,6/15/16,0,26.2,,,7.1,1.9,,,,,,,31.6,21.2
fukuoka_dazaifu-kana_dasaif,6/16/16,18.5,23.1,,,0,1.8,,,,,,,26.4,19.8
fukuoka_dazaifu-kana_dasaif,6/17/16,0,23,,,3.4,1.2,,,,,,,28.9,19
fukuoka_dazaifu-kana_dasaif,6/18/16,0,25.1,,,10.3,2.3,,,,,,,32,19
fukuoka_dazaifu-kana_dasaif,6/19/16,51,25.9,,,3.1,1.8,,,,,,,31,21.6
fukuoka_dazaifu-kana_dasaif,6/20/16,78.5,25.1,,,0,1.5,,,,,,,27.8,22.6
fukuoka_dazaifu-kana_dasaif,6/21/16,0.5,25.4,,,1.1,1.2,,,,,,,29.7,22.7
fukuoka_dazaifu-kana_dasaif,6/22/16,162,23.7,,,0,1.6,,,,,,,25.5,22.3
fukuoka_dazaifu-kana_dasaif,6/23/16,17.5,24.4,,,0.5,1.5,,,,,,,27.8,22.6
fukuoka_dazaifu-kana_dasaif,6/24/16,4,26.3,,,0,2.7,,,,,,,28.5,23.6
fukuoka_dazaifu-kana_dasaif,6/25/16,2,21.8,,,0,1.2,,,,,,,25.1,19.1
fukuoka_dazaifu-kana_dasaif,6/26/16,0,23.5,,,7.9,2.2,,,,,,,30,18.3
fukuoka_dazaifu-kana_dasaif,6/27/16,23,19.9,,,0,1.8,,,,,,,24,17
fukuoka_dazaifu-kana_dasaif,6/28/16,16,20.6,,,0,0.9,,,,,,,23,18
fukuoka_dazaifu-kana_dasaif,6/29/16,30.5,23.4,,,0.2,1.5,,,,,,,26.4,21.9
fukuoka_dazaifu-kana_dasaif,6/30/16,0,24.8,,,1.9,1.8,,,,,,,28.6,22.5
fukuoka_dazaifu-kana_dasaif,7/1/16,0,26.9,,,3.7,2.7,,,,,,,33.4,22.9
fukuoka_dazaifu-kana_dasaif,7/2/16,37,26.8,,,0.8,2.3,,,,,,,29.3,25.9
fukuoka_dazaifu-kana_dasaif,7/3/16,29.5,28.3,,,5.6,2,,,,,,,33.3,26.1
fukuoka_dazaifu-kana_dasaif,7/4/16,9,28.5,,,6.3,1.8,,,,,,,33.2,25.7
fukuoka_dazaifu-kana_dasaif,7/5/16,0,29.7,,,10.4,1.9,,,,,,,35.1,25.8
fukuoka_dazaifu-kana_dasaif,7/6/16,0,29.4,,,9.5,1.8,,,,,,,35,25.2
fukuoka_dazaifu-kana_dasaif,7/7/16,0,28.1,,,7.4,1.3,,,,,,,34.4,23.5
fukuoka_dazaifu-kana_dasaif,7/8/16,51,24,,,0,1.6,,,,,,,26.6,22.6
fukuoka_dazaifu-kana_dasaif,7/9/16,3,26.9,,,3.3,1.5,,,,,,,31.7,22.6
fukuoka_dazaifu-kana_dasaif,7/10/16,3.5,27.4,,,0.9,1.2,,,,,,,31.9,25.2
fukuoka_dazaifu-kana_dasaif,7/11/16,21.5,26.2,,,0.2,2.1,,,,,,,28.5,25.2
fukuoka_dazaifu-kana_dasaif,7/12/16,28.5,27.3,,,1.2,2.1,,,,,,,30.2,25.7
fukuoka_dazaifu-kana_dasaif,7/13/16,123,26.2,,,0,1.5,,,,,,,28,24
fukuoka_dazaifu-kana_dasaif,7/14/16,0,27.9,,,7.3,2.2,,,,,,,33.3,24.8
fukuoka_dazaifu-kana_dasaif,7/15/16,0,25.7,,,4.6,2.4,,,,,,,30.3,23.2
fukuoka_dazaifu-kana_dasaif,7/16/16,16,26.7,,,2.6,2.5,,,,,,,32.9,22.6
fukuoka_dazaifu-kana_dasaif,7/17/16,0,27,,,3.4,1.6,,,,,,,31.1,23.6
fukuoka_dazaifu-kana_dasaif,7/18/16,0,26.9,,,6.5,1.6,,,,,,,32.9,22.2
fukuoka_dazaifu-kana_dasaif,7/19/16,0,27.7,,,11.6,1.9,,,,,,,33.6,22.9
fukuoka_dazaifu-kana_dasaif,7/20/16,0,27.4,,,6.7,2,,,,,,,33,24.1
fukuoka_dazaifu-kana_dasaif,7/21/16,0,26.8,,,11.8,2.1,,,,,,,32.8,22.6
fukuoka_dazaifu-kana_dasaif,7/22/16,0,26.1,,,10.3,2.2,,,,,,,31.3,22.2
fukuoka_dazaifu-kana_dasaif,7/23/16,0,28.2,,,12.1,1.8,,,,,,,35.4,21.9
fukuoka_dazaifu-kana_dasaif,7/24/16,0,29.3,,,6.5,1.8,,,,,,,34.6,25.4
fukuoka_dazaifu-kana_dasaif,7/25/16,2.5,27.4,,,4.3,1.4,,,,,,,32.7,24.7
fukuoka_dazaifu-kana_dasaif,7/26/16,0,27.6,,,5.1,1.8,,,,,,,33,24.3
fukuoka_dazaifu-kana_dasaif,7/27/16,0,29.1,,,8.8,2,,,,,,,35.3,24.6
fukuoka_dazaifu-kana_dasaif,7/28/16,0,29.9,,,7.4,1.7,,,,,,,35.7,25.5
fukuoka_dazaifu-kana_dasaif,7/29/16,0,29.9,,,7.6,1.7,,,,,,,35.5,25.5
fukuoka_dazaifu-kana_dasaif,7/30/16,0,29.5,,,5.5,1.5,,,,,,,34.3,25.8
fukuoka_dazaifu-kana_dasaif,7/31/16,0,30.1,,,10.9,1.9,,,,,,,35.8,25.3
fukuoka_dazaifu-kana_dasaif,8/1/16,0,30,,,10.2,1.5,,,,,,,35.6,25.3
fukuoka_dazaifu-kana_dasaif,8/2/16,0,29.7,,,8.3,1.9,,,,,,,34.9,25.6
fukuoka_dazaifu-kana_dasaif,8/3/16,0,29.2,,,3.9,1.5,,,,,,,34.3,25.1
fukuoka_dazaifu-kana_dasaif,8/4/16,0.5,28.7,,,7.4,1.3,,,,,,,36.6,24.8
fukuoka_dazaifu-kana_dasaif,8/5/16,7.5,28.5,,,8.2,1.4,,,,,,,35.7,24.4
fukuoka_dazaifu-kana_dasaif,8/6/16,17.5,27.9,,,7.9,1.3,,,,,,,37.2,24.4
fukuoka_dazaifu-kana_dasaif,8/7/16,0,29,,,6.7,1.4,,,,,,,37.3,24
fukuoka_dazaifu-kana_dasaif,8/8/16,0,29.9,,,10.6,1.7,,,,,,,35.9,25.3
fukuoka_dazaifu-kana_dasaif,8/9/16,0.5,29.5,,,9.6,1.8,,,,,,,35.6,25.2
fukuoka_dazaifu-kana_dasaif,8/10/16,0,29.8,,,12.8,1.6,,,,,,,36.4,25
fukuoka_dazaifu-kana_dasaif,8/11/16,0,30.2,,,12.7,1.7,,,,,,,37,24.4
fukuoka_dazaifu-kana_dasaif,8/12/16,0,30.3,,,12.1,1.3,,,,,,,36.8,24.2
fukuoka_dazaifu-kana_dasaif,8/13/16,0,30.6,,,10.1,1.5,,,,,,,37,25.4
fukuoka_dazaifu-kana_dasaif,8/14/16,0,30.7,,,10.1,1.7,,,,,,,37,26.2
fukuoka_dazaifu-kana_dasaif,8/15/16,1,28.8,,,5.4,1.3,,,,,,,34.9,25.6
fukuoka_dazaifu-kana_dasaif,8/16/16,0,28.6,,,3,1.6,,,,,,,32.9,25.7
fukuoka_dazaifu-kana_dasaif,8/17/16,0,29,,,7.9,1.9,,,,,,,34.2,24.8
fukuoka_dazaifu-kana_dasaif,8/18/16,0,29.6,,,9.6,1.4,,,,,,,36,24.3
fukuoka_dazaifu-kana_dasaif,8/19/16,0,30.2,,,6.2,2,,,,,,,35.3,26.5
fukuoka_dazaifu-kana_dasaif,8/20/16,0,29.5,,,11.1,2.6,,,,,,,33.9,26
fukuoka_dazaifu-kana_dasaif,8/21/16,0,29.4,,,8.3,2,,,,,,,35.9,24.5
fukuoka_dazaifu-kana_dasaif,8/22/16,0,29.4,,,7.7,2.4,,,,,,,34.6,25.5
fukuoka_dazaifu-kana_dasaif,8/23/16,0,29.2,,,12,1.9,,,,,,,35.9,24.2
fukuoka_dazaifu-kana_dasaif,8/24/16,1,28.5,,,8.8,1.4,,,,,,,36.1,23.1
fukuoka_dazaifu-kana_dasaif,8/25/16,0,30.1,,,6.5,1.5,,,,,,,37,25
fukuoka_dazaifu-kana_dasaif,8/26/16,0,28.3,,,2.8,2.2,,,,,,,33.4,25.5
fukuoka_dazaifu-kana_dasaif,8/27/16,0,26.6,,,1.1,2,,,,,,,32,23.8
fukuoka_dazaifu-kana_dasaif,8/28/16,40,24.2,,,0,2.1,,,,,,,26.3,21.5
fukuoka_dazaifu-kana_dasaif,8/29/16,30,21.4,,,1,3.2,,,,,,,24.3,18.6
fukuoka_dazaifu-kana_dasaif,8/30/16,0.5,23.2,,,6.6,2.7,,,,,,,28.8,17.4
fukuoka_dazaifu-kana_dasaif,8/31/16,0,25.9,,,10,2.6,,,,,,,31,21.7
fukuoka_dazaifu-kana_dasaif,9/1/16,0,25,,,0.2,1.7,,,,,,,28.3,22.8
fukuoka_dazaifu-kana_dasaif,9/2/16,0.5,23.7,,,0,0.9,,,,,,,26.2,22.5
fukuoka_dazaifu-kana_dasaif,9/3/16,0,26.2,,,0.3,1.1,,,,,,,29.9,22.4
fukuoka_dazaifu-kana_dasaif,9/4/16,2.5,25.7,,,0.6,1.9,,,,,,,29.1,23.9
fukuoka_dazaifu-kana_dasaif,9/5/16,19,25.8,,,0.3,1.7,,,,,,,29.7,23.5
